complete_latency,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
0,7.8e-05,4e-05,3.4e-05,4.4e-05,3.8e-05,4.1e-05,4.9e-05,7.7e-05,1.7e-05,1.8e-05,1.5e-05,5.9e-05,2.1e-05,3.7e-05,1.8e-05,2.4e-05,2.5e-05,3.8e-05,2.8e-05,2.7e-05,2.2e-05,4.5e-05,6.3e-05,2.4e-05,6.2e-05,2.6e-05,2.4e-05,2.3e-05,5.3e-05,7.2e-05,0.000291,3.2e-05
1,3.6e-05,4.1e-05,2.7e-05,5.1e-05,4.8e-05,7.9e-05,7.3e-05,2.6e-05,1.8e-05,1.6e-05,2.8e-05,1.8e-05,1.5e-05,1.9e-05,1.6e-05,2.2e-05,4.6e-05,3.6e-05,2.9e-05,1.8e-05,3.5e-05,3.2e-05,2e-05,2.3e-05,6.6e-05,4.7e-05,3.1e-05,5.9e-05,4.2e-05,5.1e-05,6.1e-05,5.1e-05
2,2.7e-05,3.1e-05,2.6e-05,3.4e-05,2.3e-05,3e-05,2.7e-05,3.1e-05,3.7e-05,3.2e-05,3.3e-05,2.1e-05,2e-05,2.8e-05,1.9e-05,2.5e-05,1.8e-05,1.9e-05,2.1e-05,1.8e-05,1.9e-05,2.6e-05,1.9e-05,2e-05,4.5e-05,4.2e-05,7.4e-05,5e-05,5.3e-05,5.2e-05,7e-05,8.9e-05
3,2.3e-05,6.3e-05,3.7e-05,3.9e-05,3.2e-05,3.8e-05,2e-05,2e-05,2e-05,2.5e-05,3.1e-05,2.8e-05,2e-05,2.5e-05,3.1e-05,2.5e-05,2.3e-05,2e-05,2e-05,2.9e-05,2.9e-05,2.1e-05,2e-05,2.8e-05,1.9e-05,1.7e-05,2e-05,2.3e-05,2e-05,2.9e-05,1.6e-05,2.1e-05
4,1.6e-05,1.6e-05,1.6e-05,1.3e-05,1.7e-05,2.2e-05,2.1e-05,2.9e-05,3.4e-05,2.9e-05,2e-05,2e-05,1.9e-05,1.8e-05,3.6e-05,4.2e-05,1.4e-05,1.4e-05,1.5e-05,2.6e-05,1.8e-05,1.4e-05,1.7e-05,1.6e-05,2.2e-05,1.4e-05,1.4e-05,1.4e-05,3e-05,1.4e-05,1.3e-05,1.6e-05
5,1.5e-05,1.5e-05,2.4e-05,1.9e-05,1.8e-05,1.4e-05,1.7e-05,1.8e-05,3.2e-05,1.4e-05,4e-05,1.9e-05,3.4e-05,3.2e-05,2e-05,1.6e-05,2e-05,2.3e-05,1.9e-05,2.1e-05,1.3e-05,1.3e-05,1.8e-05,1.4e-05,1.4e-05,1.5e-05,1.4e-05,1.5e-05,1.4e-05,1.8e-05,1.5e-05,1.6e-05
6,1.6e-05,1.6e-05,1.6e-05,1.5e-05,2.4e-05,3e-05,1.6e-05,1.9e-05,1.5e-05,1.6e-05,1.9e-05,1.4e-05,1.9e-05,2.1e-05,1.5e-05,1.6e-05,1.6e-05,1.6e-05,3.1e-05,2.7e-05,3.2e-05,3.5e-05,3.4e-05,3.1e-05,2.1e-05,2.7e-05,1.5e-05,1.6e-05,1.6e-05,1.4e-05,1.5e-05,1.7e-05
7,1.8e-05,1.8e-05,2.7e-05,1.7e-05,1.6e-05,1.6e-05,2e-05,1.7e-05,1.5e-05,1.6e-05,1.7e-05,1.7e-05,2.2e-05,1.8e-05,2.5e-05,1.7e-05,1.8e-05,1.9e-05,1.4e-05,1.4e-05,1.5e-05,1.6e-05,1.3e-05,1.9e-05,2.7e-05,3.2e-05,3.2e-05,3e-05,2.5e-05,2.2e-05,3.2e-05,4.2e-05
8,3.6e-05,3.3e-05,4.2e-05,2.9e-05,1.9e-05,2e-05,1.8e-05,1.7e-05,1.6e-05,1.9e-05,1.8e-05,2.1e-05,1.8e-05,1.7e-05,1.5e-05,1.8e-05,2.1e-05,1.7e-05,2.1e-05,1.6e-05,1.9e-05,1.8e-05,1.4e-05,2e-05,1.7e-05,1.6e-05,1.6e-05,1.5e-05,1.6e-05,1.9e-05,1.8e-05,2.7e-05
9,1.9e-05,1.6e-05,1.3e-05,1.6e-05,2.8e-05,4.2e-05,2.3e-05,2.8e-05,3.4e-05,3.5e-05,2.2e-05,2.5e-05,1.4e-05,1.4e-05,3e-05,3.7e-05,1.7e-05,1.6e-05,1.7e-05,1.6e-05,1.8e-05,2.3e-05,1.8e-05,1.8e-05,1.6e-05,1.5e-05,1.6e-05,1.7e-05,1.7e-05,1.6e-05,1.5e-05,1.5e-05
