stat_bytes_avail,ceph01_ceph-osd.0.asok.txt,ceph01_ceph-osd.1.asok.txt,ceph01_ceph-osd.2.asok.txt,ceph01_ceph-osd.3.asok.txt,ceph01_ceph-osd.4.asok.txt,ceph01_ceph-osd.5.asok.txt,ceph01_ceph-osd.6.asok.txt,ceph01_ceph-osd.7.asok.txt,ceph02_ceph-osd.10.asok.txt,ceph02_ceph-osd.11.asok.txt,ceph02_ceph-osd.12.asok.txt,ceph02_ceph-osd.13.asok.txt,ceph02_ceph-osd.14.asok.txt,ceph02_ceph-osd.15.asok.txt,ceph02_ceph-osd.8.asok.txt,ceph02_ceph-osd.9.asok.txt,ceph03_ceph-osd.16.asok.txt,ceph03_ceph-osd.17.asok.txt,ceph03_ceph-osd.18.asok.txt,ceph03_ceph-osd.19.asok.txt,ceph03_ceph-osd.20.asok.txt,ceph03_ceph-osd.21.asok.txt,ceph03_ceph-osd.22.asok.txt,ceph03_ceph-osd.23.asok.txt,ceph04_ceph-osd.24.asok.txt,ceph04_ceph-osd.25.asok.txt,ceph04_ceph-osd.26.asok.txt,ceph04_ceph-osd.27.asok.txt,ceph04_ceph-osd.28.asok.txt,ceph04_ceph-osd.29.asok.txt,ceph04_ceph-osd.30.asok.txt,ceph04_ceph-osd.31.asok.txt
15,476775772160,459407249408,459122249728,472882200576,479885471744,460239335424,469131616256,454511644672,467590307840,462265233408,465916215296,467413078016,468309438464,448278437888,462379098112,477464600576,460328497152,476994838528,464034025472,459313315840,468157526016,458918916096,461813592064,458821156864,475206594560,460706238464,471216619520,454942244864,465317875712,467074256896,453526687744,456449744896
16,476775772160,459407249408,459122249728,472882200576,479885471744,460239335424,469131616256,454511644672,467590307840,462265233408,465916215296,467413078016,468309438464,448278437888,462379098112,477464600576,460328497152,476994838528,464034025472,459313315840,468157526016,458918916096,461813592064,458821156864,475206594560,460706238464,471216619520,454942244864,465317875712,467074256896,453526687744,456449744896
17,476775772160,459407249408,459122249728,472882200576,479885471744,460239335424,469131616256,454511644672,467590307840,462265233408,465916215296,467413078016,468309438464,448278437888,462379098112,477464600576,460328497152,476994838528,464034025472,459313315840,468157526016,458918916096,461813592064,458821156864,475206656000,460706238464,471216619520,454942244864,465317875712,467074236416,453526687744,456449744896
18,476775772160,459407249408,459122249728,472882200576,479885471744,460239335424,469131616256,454511644672,467590307840,462265233408,465916215296,467413078016,468309438464,448278437888,462379098112,477464600576,460328497152,476994838528,464034025472,459313254400,468157526016,458918916096,461813592064,458821156864,475206656000,460706238464,471216619520,454942244864,465317875712,467074236416,453526687744,456449744896
19,476775772160,459407249408,459122249728,472882200576,479885471744,460239335424,469131616256,454511644672,467590307840,462265294848,465916215296,467413078016,468309438464,448278437888,462379098112,477464600576,460328497152,476994838528,464034025472,459313254400,468157526016,458918916096,461813592064,458821156864,475206656000,460706238464,471216619520,454942244864,465317875712,467074297856,453526687744,456449744896
20,476775772160,459407249408,459122249728,472882200576,479885471744,460239335424,469131677696,454511644672,467590307840,462265294848,465916215296,467413016576,468309438464,448278437888,462379098112,477464600576,460328497152,476994838528,464033902592,459313254400,468157464576,458918916096,461813592064,458821156864,475206656000,460706238464,471216619520,454942244864,465317875712,467074297856,453526687744,456449744896
21,476775772160,459407249408,459122249728,472882200576,479885471744,460239335424,469131677696,454511644672,467590307840,462265294848,465916215296,467413016576,468309438464,448278437888,462379098112,477464600576,460328497152,476994838528,464033902592,459313254400,468157526016,458918916096,461813592064,458821156864,475206656000,460706238464,471216619520,454942244864,465317875712,467074297856,453526687744,456449744896
22,476775772160,459407249408,459122249728,472882200576,479885471744,460239335424,469131677696,454511644672,467590307840,462265294848,465916153856,467413016576,468309438464,448278437888,462379098112,477464600576,460328497152,476994838528,464033902592,459313315840,468157526016,458918916096,461813592064,458821156864,475206656000,460706238464,471216619520,454942244864,465317875712,467074297856,453526687744,456449744896
23,476775772160,459407249408,459122249728,472882200576,479885471744,460239335424,469131677696,454511644672,467590307840,462265294848,465916153856,467413016576,468309438464,448278315008,462379098112,477464600576,460328497152,476994838528,464034025472,459313315840,468157526016,458918916096,461813592064,458821156864,475206656000,460706238464,471216619520,454942244864,465317875712,467074297856,453526687744,456449744896
24,476775772160,459407249408,459122249728,472882200576,479885471744,460239335424,469131677696,454511644672,467590307840,462265294848,465916215296,467413016576,468309438464,448278315008,462379098112,477464600576,460328497152,476994838528,464034025472,459313315840,468157526016,458918916096,461813592064,458821156864,475206656000,460706177024,471216619520,454942244864,465317814272,467074297856,453526687744,456449744896
